Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Encryption Window Length
0,3600360,3259.0,3328.310319782197,0.0000,1,1
0,3620880,183687.0,183713.25044868942,0.2718,2,57
0,3641400,176906.0,177087.8621077477,0.2792,3,57
0,3656160,128950.0,128998.75493050591,0.3108,4,41
0,3675960,173386.0,173393.539304716,0.2458,5,55
0,3694320,161721.0,161936.06841490662,0.2699,6,51
0,3709800,136043.0,136074.57582531203,0.2490,7,43
0,3730320,180516.0,180604.64422491202,0.2744,8,57
0.0100000000000000002,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0100000000000000002,3618360,164477.0,162852.09092706293,0.2042,2,50
0.0100000000000000002,3630600,107539.0,106511.68536363449,0.1881,3,34
0.0100000000000000002,3651120,180252.0,178558.33255881706,0.1940,4,57
0.0100000000000000002,3668760,155982.0,154587.19388383286,0.2065,5,49
0.0100000000000000002,3684240,138366.0,137150.27578751618,0.2044,6,43
0.0100000000000000002,3697560,118290.0,117365.44420255594,0.2003,7,37
0.0100000000000000002,3713400,140503.0,139118.66996772334,0.1995,8,44
0.0100000000000000002,3728160,131207.0,130053.48261032149,0.2013,9,41
0.0200000000000000004,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0200000000000000004,3616560,150388.0,147683.5838364621,0.1832,2,45
0.0200000000000000004,3628800,108720.0,106750.21149835983,0.1778,3,34
0.0200000000000000004,3648960,179008.0,175642.0631470511,0.1774,4,56
0.0200000000000000004,3665520,148177.0,145322.41795788915,0.1888,5,46
0.0200000000000000004,3681360,142075.0,139297.48715768004,0.1803,6,44
0.0200000000000000004,3695400,125893.0,123648.52251650752,0.1744,7,39
0.0200000000000000004,3707640,109739.0,107738.96970651024,0.1709,8,34
0.0200000000000000004,3722040,129375.0,126849.24403578328,0.2020,9,40
0.0200000000000000004,3733200,100276.0,98428.62382324396,0.1796,10,31
0.0299999999999999989,3600360,3259.0,3328.310319782197,0.0000,1,1
0.0299999999999999989,3614760,136028.0,132266.97236609855,0.1811,2,40
0.0299999999999999989,3625920,100441.0,97614.38649813138,0.1907,3,31
0.0299999999999999989,3642120,145665.0,141494.36792051521,0.1846,4,45
0.0299999999999999989,3653640,104174.0,101254.9462959504,0.1865,5,32
0.0299999999999999989,3665520,107653.0,104584.3274631621,0.1733,6,33
0.0299999999999999989,3679560,127213.0,123618.81816215755,0.1834,7,39
0.0299999999999999989,3692160,114774.0,111469.79502367172,0.1864,8,35
0.0299999999999999989,3702600,94766.0,92113.2871475168,0.1924,9,29
0.0299999999999999989,3716640,126836.0,123212.43576580715,0.1747,10,39
0.0299999999999999989,3725640,81658.0,79376.54004288634,0.1939,11,25
0.0299999999999999989,3738600,117613.0,114290.81869841903,0.1807,12,36
0.04000000000000000083,3600360,3259.0,3328.310319782197,0.0000,1,1
0.04000000000000000083,3612960,121228.0,116582.68716675475,0.1959,2,35
0.04000000000000000083,3624480,104796.0,100921.55112541748,0.2075,3,32
0.04000000000000000083,3638880,131068.0,126062.24914551784,0.2003,4,40
0.04000000000000000083,3649320,95496.0,91847.79894779724,0.2124,5,29
0.04000000000000000083,3661560,111879.0,107779.70959253133,0.2026,6,34
0.04000000000000000083,3672720,102209.0,98297.54491443164,0.2300,7,31
0.04000000000000000083,3681720,83186.0,79992.762934888,0.2064,8,25
0.04000000000000000083,3692160,95643.0,92109.58914346427,0.1966,9,29
0.04000000000000000083,3701520,85663.0,82588.83644400354,0.2048,10,26
